r,n,date
13094,10 12 17 19 20 21 23 30,8/14/2013
13093,05 07 11 14 22 25 30 15,8/12/2013
13092,03 06 07 11 17 23 24 15,8/9/2013
13091,03 04 10 12 15 22 27 29,8/7/2013
13090,01 04 10 12 17 23 25 19,8/5/2013
13089,02 04 08 11 13 23 26 30,8/2/2013
13088,04 05 06 07 18 20 24 17,7/31/2013
13087,02 03 13 17 20 28 30 29,7/29/2013
13086,01 06 07 09 10 25 26 22,7/26/2013
13085,02 04 12 13 17 21 26 28,7/24/2013
13084,02 03 05 08 15 18 26 30,7/22/2013
13083,02 07 08 20 21 26 28 25,7/19/2013
13082,10 12 14 18 19 22 28 04,7/17/2013
13081,04 05 16 22 23 27 28 12,7/15/2013
13080,09 13 15 20 22 29 30 08,7/12/2013
13079,01 02 15 17 18 21 22 16,7/10/2013
13078,13 18 22 24 25 26 29 30,7/8/2013
13077,01 04 05 15 24 25 27 08,7/5/2013
13076,03 04 12 19 22 23 28 07,7/3/2013
13075,01 05 09 14 21 23 27 25,7/1/2013
13074,03 06 07 21 25 28 29 05,6/28/2013
13073,07 08 11 12 17 18 28 23,6/26/2013
13072,07 08 11 16 17 24 29 27,6/24/2013
13071,02 05 07 12 19 28 30 09,6/21/2013
13070,06 09 10 15 20 23 29 26,6/19/2013
13069,04 14 15 20 22 26 28 27,6/17/2013
13068,03 08 09 13 14 17 22 12,6/14/2013
13067,04 09 11 16 18 24 28 26,6/12/2013
13066,02 03 05 12 13 26 30 23,6/10/2013
13065,02 08 21 22 24 27 29 06,6/7/2013
13064,01 07 08 12 20 21 25 09,6/5/2013
13063,04 11 13 16 20 21 23 14,6/3/2013
13062,01 08 15 19 25 27 30 06,5/31/2013
13061,05 11 20 21 22 23 24 10,5/29/2013
13060,01 06 09 14 16 20 28 25,5/27/2013
13059,03 07 13 18 23 27 30 06,5/24/2013
13058,07 09 10 18 20 28 30 21,5/22/2013
13057,01 03 06 08 11 21 25 28,5/20/2013
13056,01 03 07 08 09 15 16 18,5/17/2013
13055,03 08 14 15 16 22 25 24,5/15/2013
13054,07 13 14 17 18 26 27 29,5/13/2013
13053,01 04 07 08 10 24 30 05,5/10/2013
13052,02 03 10 12 20 23 27 22,5/8/2013
13051,01 03 06 07 24 25 30 21,5/6/2013
13050,02 04 06 12 18 23 28 14,5/3/2013
13049,01 03 10 12 13 15 20 06,5/1/2013
13048,01 11 17 18 20 21 27 12,4/29/2013
13047,04 13 17 18 19 23 24 07,4/26/2013
13046,01 07 12 19 21 27 29 25,4/24/2013
13045,03 08 13 18 21 25 27 30,4/22/2013
13044,06 09 14 20 21 22 25 02,4/19/2013
13043,03 04 12 14 15 19 26 24,4/17/2013
13042,06 07 09 10 11 12 19 08,4/15/2013
13041,01 04 06 10 14 27 30 25,4/12/2013
13040,02 03 11 12 15 22 24 10,4/10/2013
13039,02 07 08 09 21 25 30 23,4/8/2013
13038,06 07 11 15 16 26 29 02,4/5/2013
13037,01 07 17 21 23 24 30 13,4/3/2013
13036,01 05 12 17 20 23 27 09,4/1/2013
13035,05 09 12 14 19 26 30 21,3/29/2013
13034,01 04 09 15 16 26 30 11,3/27/2013
13033,05 11 18 19 22 26 28 04,3/25/2013
13032,05 07 15 16 22 27 28 25,3/22/2013
13031,05 06 07 14 16 22 23 21,3/20/2013
13030,01 04 06 12 14 20 28 13,3/18/2013
13029,01 02 08 12 15 21 25 20,3/15/2013
13028,02 03 14 18 24 25 30 26,3/13/2013
13027,01 05 07 13 18 23 28 10,3/11/2013
13026,06 09 14 17 20 21 26 12,3/8/2013
13025,04 07 10 19 26 27 29 16,3/6/2013
13024,09 10 19 20 21 22 30 28,3/4/2013
13023,01 10 13 20 24 25 28 02,3/1/2013
13022,01 03 06 13 24 26 28 11,2/27/2013
13021,04 06 08 12 22 25 28 17,2/25/2013
13020,01 02 07 13 23 25 30 22,2/22/2013
13019,05 18 19 20 24 25 27 14,2/20/2013
13018,05 12 20 21 24 26 30 25,2/18/2013
13017,04 08 09 11 14 24 29 10,2/8/2013
13016,04 05 06 08 22 25 30 14,2/6/2013
13015,01 05 06 12 18 19 28 09,2/4/2013
13014,01 12 14 19 25 26 30 03,2/1/2013
13013,04 10 19 20 21 23 26 02,1/30/2013
13012,03 05 08 13 19 22 29 06,1/28/2013
13011,02 03 07 08 10 16 20 29,1/25/2013
13010,01 02 13 14 16 19 26 05,1/23/2013
13009,08 15 18 19 20 26 29 01,1/21/2013
13008,02 19 21 23 25 27 28 18,1/18/2013
13007,01 02 04 05 06 15 26 19,1/16/2013
13006,01 08 13 16 21 25 29 18,1/14/2013
13005,03 10 11 20 24 25 28 27,1/11/2013
13004,02 07 08 14 17 20 25 09,1/9/2013
13003,04 06 13 16 18 19 25 24,1/7/2013
13002,08 15 16 18 19 25 28 02,1/4/2013
13001,03 07 08 12 13 15 22 21,1/2/2013
13001,03 07 08 12 13 15 22 21,1/2/2013
12154,01 02 18 19 24 26 28 08,12/31/2012
12153,11 15 23 25 26 28 29 08,12/28/2012
12152,13 14 16 18 20 24 26 30,12/26/2012
12151,05 08 11 15 20 21 24 02,12/24/2012
12150,07 09 13 14 17 19 29 08,12/21/2012
12149,01 02 04 09 11 17 20 03,12/19/2012
12148,04 10 13 18 19 28 29 23,12/17/2012
12147,02 10 12 13 27 29 30 03,12/14/2012
12146,07 10 12 24 26 28 30 18,12/12/2012
12145,01 05 06 08 09 10 15 25,12/10/2012
12144,01 02 03 06 09 11 23 21,12/7/2012
12143,04 12 13 22 24 25 29 30,12/5/2012
12142,04 09 14 19 22 23 28 07,12/3/2012
12141,01 04 08 13 14 24 27 25,11/30/2012
12140,08 12 17 21 23 25 29 27,11/28/2012
12139,04 06 07 16 19 20 26 24,11/26/2012
12138,05 10 12 22 23 24 30 14,11/23/2012
12137,09 11 23 24 25 29 30 05,11/21/2012
12136,01 05 14 15 16 27 30 23,11/19/2012
12135,08 09 11 13 15 23 24 10,11/16/2012
12134,03 07 11 14 19 20 21 29,11/14/2012
12133,03 08 16 18 23 24 29 12,11/12/2012
12132,01 05 10 17 18 21 30 03,11/9/2012
12131,02 10 15 22 25 27 30 29,11/7/2012
12130,06 07 12 17 19 22 25 13,11/5/2012
12129,01 04 09 17 18 28 29 11,11/2/2012
12128,03 05 06 14 19 23 24 28,10/31/2012
12127,06 10 18 21 26 28 30 19,10/29/2012
12126,06 11 18 20 21 22 25 28,10/26/2012
12125,04 07 12 16 18 25 29 27,10/24/2012
12124,01 14 24 25 27 28 30 18,10/22/2012
12123,01 05 13 20 23 24 30 15,10/19/2012
12122,05 11 14 20 24 29 30 22,10/17/2012
12121,01 07 12 14 20 26 28 21,10/15/2012
12120,10 17 18 19 28 29 30 25,10/12/2012
12119,05 08 09 13 16 21 26 24,10/10/2012
12118,02 09 17 18 20 21 26 10,10/8/2012
12117,15 17 21 23 26 28 29 19,10/5/2012
12116,01 14 15 16 22 23 25 19,10/3/2012
12115,02 08 09 10 13 19 22 29,10/1/2012
12114,02 07 12 16 25 28 29 08,9/28/2012
12113,02 20 21 22 25 26 28 12,9/26/2012
12112,05 07 14 20 22 23 30 19,9/24/2012
12111,01 04 07 09 10 11 24 02,9/21/2012
12110,04 07 09 17 24 25 27 11,9/19/2012
12109,04 07 11 12 14 16 18 29,9/17/2012
12108,05 09 14 18 22 25 29 15,9/14/2012
12107,03 07 10 16 17 27 28 04,9/12/2012
12106,01 05 19 22 24 29 30 28,9/10/2012
12105,05 11 17 18 20 24 27 08,9/7/2012
12104,02 03 04 06 08 09 24 13,9/5/2012
12103,08 10 16 18 22 29 30 01,9/3/2012
12102,02 04 08 13 15 20 23 18,8/31/2012
12101,04 06 09 14 20 26 30 02,8/29/2012
12100,01 04 11 15 18 22 26 06,8/27/2012
12099,03 09 17 21 23 24 28 15,8/24/2012
12098,07 08 14 21 24 25 27 23,8/22/2012
12097,07 08 09 15 20 24 25 29,8/20/2012
12096,02 07 10 20 23 24 30 12,8/17/2012
12095,04 06 12 13 20 21 23 01,8/15/2012
12094,04 09 16 18 19 21 22 28,8/13/2012
12093,15 16 18 23 25 27 28 08,8/10/2012
12092,03 06 11 14 20 21 28 19,8/8/2012
12091,06 09 10 12 17 22 25 20,8/6/2012
12090,01 04 07 09 14 24 30 19,8/3/2012
12089,01 02 04 17 25 29 30 11,8/1/2012
12088,05 07 12 16 17 26 27 13,7/30/2012
12087,01 08 09 22 27 28 30 19,7/27/2012
12086,14 15 18 21 23 25 27 29,7/25/2012
12085,01 02 04 09 14 24 30 21,7/23/2012
12084,01 16 21 23 27 28 30 29,7/20/2012
12083,05 06 09 12 18 19 21 04,7/18/2012
12082,06 07 16 18 25 27 28 19,7/16/2012
12081,06 09 12 13 25 27 29 26,7/13/2012
12080,06 13 19 22 23 27 29 08,7/11/2012
12079,06 14 16 20 21 23 25 09,7/9/2012
12078,01 07 10 23 27 29 30 03,7/6/2012
12077,01 04 19 21 22 28 29 30,7/4/2012
12076,02 04 07 08 13 24 29 09,7/2/2012
12075,02 03 06 10 16 17 20 22,6/29/2012
12074,01 02 10 19 20 21 30 17,6/27/2012
12073,05 08 16 18 22 25 28 04,6/25/2012
12072,03 06 11 24 25 26 29 05,6/22/2012
12071,04 08 10 14 16 22 28 02,6/20/2012
12070,01 07 16 18 19 20 25 08,6/18/2012
12069,05 13 17 19 25 26 29 08,6/15/2012
12068,03 04 10 13 17 19 28 20,6/13/2012
12067,04 07 13 23 26 27 28 30,6/11/2012
12066,06 11 13 15 21 23 29 05,6/8/2012
12065,01 10 11 14 16 23 29 21,6/6/2012
12064,02 14 16 18 20 25 29 26,6/4/2012
12063,04 12 15 18 20 21 25 02,6/1/2012
12062,01 04 06 12 16 22 23 05,5/30/2012
12061,02 03 08 16 19 21 22 27,5/28/2012
12060,02 03 05 07 22 24 25 11,5/25/2012
12059,06 07 09 19 21 26 30 05,5/23/2012
12058,01 03 08 10 17 22 24 16,5/21/2012
12057,01 05 06 16 18 23 25 12,5/18/2012
12056,03 15 16 18 24 25 27 17,5/16/2012
12055,01 03 05 10 12 15 20 14,5/14/2012
12054,02 09 16 18 24 27 28 22,5/11/2012
12053,02 11 12 14 25 28 29 20,5/9/2012
12052,07 08 11 16 26 29 30 01,5/7/2012
12051,02 07 11 17 23 24 29 28,5/4/2012
12050,02 08 11 20 23 24 26 04,5/2/2012
12049,01 11 14 18 23 25 29 09,4/30/2012
12048,01 02 04 11 12 28 29 06,4/27/2012
12047,01 02 12 15 21 23 26 25,4/25/2012
12046,03 09 16 24 25 27 29 21,4/23/2012
12045,06 07 08 12 13 19 30 26,4/20/2012
12044,05 07 10 11 15 25 30 27,4/18/2012
12043,06 10 15 20 23 28 30 09,4/16/2012
12042,03 07 16 17 20 21 29 11,4/13/2012
12041,01 03 13 15 16 17 24 08,4/11/2012
12040,04 05 06 09 14 24 28 19,4/9/2012
12039,02 03 06 18 19 27 28 22,4/6/2012
12038,01 03 10 13 21 24 27 11,4/4/2012
12037,01 07 10 19 20 26 30 18,4/2/2012
12036,09 13 15 18 20 23 29 01,3/30/2012
12035,06 07 09 11 14 20 27 22,3/28/2012
12034,03 05 10 12 15 16 23 29,3/26/2012
12033,01 03 05 06 10 14 30 26,3/23/2012
12032,01 03 10 14 23 26 27 05,3/21/2012
12031,13 14 17 20 21 26 27 23,3/19/2012
12030,08 12 13 19 23 26 27 21,3/16/2012
12029,03 04 05 14 16 27 30 08,3/14/2012
12028,05 07 09 11 13 24 28 04,3/12/2012
12027,03 05 06 15 18 26 30 22,3/9/2012
12026,01 02 06 14 21 26 27 16,3/7/2012
12025,06 07 12 13 17 21 27 29,3/5/2012
12024,01 06 07 08 14 21 30 18,3/2/2012
12023,06 12 16 17 19 26 30 27,2/29/2012
12022,07 08 10 11 20 24 29 04,2/27/2012
12021,02 04 07 08 18 20 24 17,2/24/2012
12020,05 10 11 18 25 27 28 17,2/22/2012
12019,02 05 07 10 14 19 21 11,2/20/2012
12018,07 10 11 13 18 20 25 16,2/17/2012
12017,03 04 13 21 24 25 30 23,2/15/2012
12016,01 08 10 17 21 28 29 05,2/13/2012
12015,02 07 08 18 24 25 30 28,2/10/2012
12014,02 04 07 17 21 25 28 06,2/8/2012
12013,03 11 18 21 23 27 30 10,2/6/2012
12012,01 11 13 16 20 24 29 05,2/3/2012
12011,01 05 07 15 22 25 28 21,2/1/2012
12010,01 08 13 15 22 25 30 21,1/30/2012
12009,02 04 10 18 24 26 27 28,1/20/2012
12008,01 07 09 13 19 21 23 05,1/18/2012
12007,01 09 16 17 20 27 29 15,1/16/2012
12006,11 15 18 19 20 27 28 13,1/13/2012
12005,01 06 09 15 18 22 27 11,1/11/2012
12004,05 08 13 16 17 19 24 12,1/9/2012
12003,05 14 20 21 22 26 28 10,1/6/2012
12002,02 06 14 19 21 27 30 05,1/4/2012
12001,02 11 16 18 20 29 30 14,1/2/2012
11153,04 09 12 14 16 17 20 21,12/30/2011
11152,06 07 09 10 18 19 23 27,12/28/2011
11151,01 16 18 19 24 27 29 30,12/26/2011
11150,01 05 13 15 16 19 24 08,12/23/2011
11149,01 06 11 15 19 20 29 09,12/21/2011
11148,01 02 10 23 25 28 29 20,12/19/2011
11147,01 06 10 20 22 26 30 09,12/16/2011
11146,09 13 16 21 22 26 30 18,12/14/2011
11145,12 20 23 24 25 29 30 15,12/12/2011
11144,09 13 19 25 27 28 29 20,12/9/2011
11143,01 07 08 10 14 17 18 16,12/7/2011
11142,03 15 16 19 21 23 24 27,12/5/2011
11141,03 09 12 14 17 25 30 28,12/2/2011
11140,07 08 09 11 13 22 30 28,11/30/2011
11139,01 07 11 15 21 25 28 13,11/28/2011
11138,02 13 18 24 28 29 30 06,11/25/2011
11137,06 16 17 20 21 28 29 03,11/23/2011
11136,06 10 15 16 19 25 26 11,11/21/2011
11135,04 05 19 23 24 27 29 07,11/18/2011
11134,06 08 20 21 25 29 30 12,11/16/2011
11133,04 08 14 19 22 25 30 15,11/14/2011
11132,02 08 11 13 16 22 26 29,11/11/2011
11131,03 07 12 26 27 28 29 21,11/9/2011
11130,01 03 13 18 21 23 25 06,11/7/2011
11129,04 13 17 22 28 29 30 11,11/4/2011
11128,03 06 07 09 11 12 19 04,11/2/2011
11127,06 10 13 18 19 20 23 09,10/31/2011
11126,02 07 08 17 19 21 29 27,10/28/2011
11125,06 11 20 21 23 24 30 27,10/26/2011
11124,02 06 10 12 14 20 27 19,10/24/2011
11123,07 11 16 18 20 22 26 09,10/21/2011
11122,02 06 14 16 20 24 27 11,10/19/2011
11121,05 08 15 25 27 28 30 21,10/17/2011
11120,03 05 07 15 20 26 30 06,10/14/2011
11119,03 08 12 19 20 25 26 09,10/12/2011
11118,06 16 18 23 24 27 30 07,10/10/2011
11117,12 14 15 19 22 25 27 09,10/7/2011
11116,02 03 08 15 16 23 25 13,10/5/2011
11115,02 05 06 12 19 29 30 21,10/3/2011
11114,04 09 10 11 18 27 30 21,9/30/2011
11113,04 07 08 12 15 22 27 20,9/28/2011
11112,02 09 10 11 14 22 25 04,9/26/2011
11111,02 03 06 07 21 27 30 24,9/23/2011
11110,02 06 14 16 22 23 30 13,9/21/2011
11109,02 04 09 20 21 24 29 27,9/19/2011
11108,01 07 11 13 17 23 24 25,9/16/2011
11107,03 04 09 10 13 25 27 30,9/14/2011
11106,06 10 16 23 25 27 30 03,9/12/2011
11105,04 05 10 15 23 26 30 24,9/9/2011
11104,01 03 18 20 25 29 30 14,9/7/2011
11103,01 02 11 16 23 27 29 04,9/5/2011
11102,01 04 07 08 16 17 30 29,9/2/2011
11101,07 11 17 18 26 27 30 13,8/31/2011
11100,04 07 13 14 16 18 25 06,8/29/2011
11099,11 15 16 23 26 27 29 28,8/26/2011
11098,06 12 18 19 23 27 30 07,8/24/2011
11097,10 11 15 16 21 27 29 20,8/22/2011
11096,01 09 13 16 22 24 27 14,8/19/2011
11095,07 10 13 16 18 19 27 29,8/17/2011
11094,05 07 08 16 17 28 30 12,8/15/2011
11093,07 08 10 13 14 22 23 02,8/12/2011
11092,02 08 09 14 20 25 28 01,8/10/2011
11091,06 13 15 20 25 27 30 23,8/8/2011
11090,02 04 06 09 10 20 28 17,8/5/2011
11089,12 13 18 24 25 27 28 06,8/3/2011
11088,03 04 10 12 15 24 29 17,8/1/2011
11087,09 16 18 19 22 24 30 27,7/29/2011
11086,02 05 12 18 21 24 27 13,7/27/2011
11085,01 07 12 22 24 27 29 15,7/25/2011
11084,02 05 09 14 16 21 22 08,7/22/2011
11083,03 06 11 16 17 22 23 25,7/20/2011
11082,09 16 17 19 20 21 29 13,7/18/2011
11081,04 05 06 07 15 16 25 12,7/15/2011
11080,02 03 05 18 21 22 29 11,7/13/2011
11079,05 14 16 19 20 26 28 27,7/11/2011
11078,05 07 15 17 21 23 26 20,7/8/2011
11077,06 13 14 15 23 24 27 25,7/6/2011
11076,01 05 10 18 24 25 29 02,7/4/2011
11075,06 09 12 19 21 25 27 20,7/1/2011
11074,01 03 16 17 18 20 25 04,6/29/2011
11073,04 05 14 21 23 24 27 08,6/27/2011
11072,02 03 06 14 15 21 26 13,6/24/2011
11071,04 13 14 23 24 25 27 19,6/22/2011
11070,05 11 12 14 19 20 28 01,6/20/2011
11069,05 07 09 16 17 21 25 02,6/17/2011
11068,03 09 13 14 17 23 24 22,6/15/2011
11067,04 13 15 16 22 24 28 05,6/13/2011
11066,02 06 07 12 15 20 25 08,6/10/2011
11065,03 11 21 23 24 25 26 20,6/8/2011
11064,09 19 20 21 24 26 30 15,6/6/2011
11063,01 05 16 17 18 26 28 15,6/3/2011
11062,12 14 15 18 20 21 27 16,6/1/2011
11061,05 08 10 15 18 25 30 12,5/30/2011
11060,01 03 04 07 08 19 25 09,5/27/2011
11059,05 11 17 20 21 22 30 25,5/25/2011
11058,01 02 04 14 19 22 25 08,5/23/2011
11057,02 03 05 16 17 19 23 20,5/20/2011
11056,05 14 17 18 21 24 27 20,5/18/2011
11055,03 06 07 10 14 18 21 16,5/16/2011
11054,02 09 10 11 12 21 27 17,5/13/2011
11053,02 10 11 13 26 27 30 18,5/11/2011
11052,01 04 17 19 24 25 29 06,5/9/2011
11051,06 09 13 17 21 22 26 05,5/6/2011
11050,14 15 18 23 26 27 29 09,5/4/2011
11049,05 09 11 12 15 23 29 17,5/2/2011
11048,02 10 12 15 21 23 28 03,4/29/2011
11047,05 09 11 16 18 19 29 26,4/27/2011
11046,09 13 14 16 18 26 27 20,4/25/2011
11045,05 06 09 12 17 20 21 01,4/22/2011
11044,11 14 16 23 25 27 29 12,4/20/2011
11043,01 09 12 13 20 27 29 24,4/18/2011
11042,07 09 10 12 18 21 25 14,4/15/2011
11041,02 05 08 13 18 19 21 10,4/13/2011
11040,06 10 11 12 15 27 30 08,4/11/2011
11039,01 02 06 12 13 21 30 19,4/8/2011
11038,01 09 15 16 17 26 29 30,4/6/2011
11037,02 10 14 16 18 20 25 01,4/4/2011
11036,02 04 05 08 14 19 25 12,4/1/2011
11035,01 11 21 25 28 29 30 05,3/30/2011
11034,02 09 13 14 18 26 29 03,3/28/2011
11033,04 08 18 20 28 29 30 27,3/25/2011
11032,16 17 19 21 24 25 29 14,3/23/2011
11031,03 04 10 12 13 21 24 26,3/21/2011
11030,01 02 08 12 14 20 28 21,3/18/2011
11029,10 15 17 20 25 26 28 04,3/16/2011
11028,03 04 07 17 19 20 28 11,3/14/2011
11027,02 05 13 21 25 26 29 09,3/11/2011
11026,02 04 05 06 08 21 24 14,3/9/2011
11025,04 07 09 11 16 21 28 14,3/7/2011
11024,02 03 06 07 12 22 30 05,3/4/2011
11023,03 11 15 20 22 25 28 16,3/2/2011
11022,01 05 06 20 23 27 29 04,2/28/2011
11021,03 11 15 22 23 27 30 21,2/25/2011
11020,02 04 05 10 13 26 29 20,2/23/2011
11019,01 03 05 06 14 16 21 29,2/21/2011
11018,03 13 16 17 22 24 29 19,2/18/2011
11017,04 08 11 12 14 26 28 27,2/16/2011
11016,02 04 12 20 21 25 28 29,2/14/2011
11015,01 02 06 07 09 17 18 19,2/11/2011
11014,02 04 07 12 17 21 29 09,2/9/2011
11013,07 11 12 13 20 21 27 03,1/31/2011
11012,06 09 11 15 18 23 29 27,1/28/2011
11011,10 13 15 18 25 26 27 22,1/26/2011
11010,05 06 17 22 25 26 28 01,1/24/2011
11009,04 06 09 13 15 18 27 12,1/21/2011
11008,01 03 08 09 10 13 29 06,1/19/2011
11007,01 06 15 16 22 25 26 17,1/17/2011
11006,02 10 15 16 20 24 25 22,1/14/2011
11005,01 07 08 09 19 21 29 12,1/12/2011
11004,04 10 12 13 14 20 30 19,1/10/2011
11003,08 13 20 21 22 25 30 07,1/7/2011
11002,04 09 14 18 20 25 26 24,1/5/2011
11001,13 16 17 19 21 26 27 01,1/3/2011
10154,03 04 07 16 20 25 26 27,12/31/2010
10153,04 05 11 20 23 26 27 19,12/29/2010
10152,06 07 11 12 14 24 28 21,12/27/2010
10151,02 07 08 10 15 23 24 13,12/24/2010
10150,09 15 19 25 26 27 29 22,12/22/2010
10149,01 02 13 18 27 28 30 29,12/20/2010
10148,01 03 06 10 13 19 29 11,12/17/2010
10147,01 19 20 26 27 28 30 05,12/15/2010
10146,07 15 24 26 27 29 30 06,12/13/2010
10145,01 17 18 23 26 28 30 09,12/10/2010
10144,02 04 10 13 20 23 24 08,12/8/2010
10143,03 07 08 14 21 29 30 06,12/6/2010
10142,01 16 17 19 20 26 27 29,12/3/2010
10141,03 11 16 21 24 26 27 25,12/1/2010
10140,06 07 08 18 19 21 22 12,11/29/2010
10139,01 05 07 08 10 14 30 27,11/26/2010
10138,01 06 08 13 16 22 28 23,11/24/2010
10137,03 07 09 15 16 20 24 18,11/22/2010
10136,02 06 13 17 22 23 27 12,11/19/2010
10135,01 09 10 14 18 23 24 21,11/17/2010
10134,07 15 16 20 24 29 30 26,11/15/2010
10133,01 02 03 10 18 27 30 14,11/12/2010
10132,04 10 12 16 24 29 30 05,11/10/2010
10131,05 09 11 21 23 27 30 18,11/8/2010
10130,03 08 09 17 22 25 26 15,11/5/2010
10129,01 06 07 08 13 20 25 14,11/3/2010
10128,01 07 14 16 18 23 25 11,11/1/2010
10127,11 12 25 26 28 29 30 16,10/29/2010
10126,05 12 14 15 16 21 27 23,10/27/2010
10125,04 06 12 16 25 27 30 08,10/25/2010
10124,02 09 10 13 15 21 27 05,10/22/2010
10123,01 05 11 12 15 16 29 27,10/20/2010
10122,03 07 12 18 21 23 25 06,10/18/2010
10121,04 06 18 20 21 24 25 14,10/15/2010
10120,04 05 11 23 24 25 27 19,10/13/2010
10119,01 09 10 13 19 22 28 29,10/11/2010
10118,01 03 05 08 12 15 29 22,10/8/2010
10117,08 10 16 18 19 25 27 13,10/6/2010
10116,01 02 05 17 21 22 25 27,10/4/2010
10115,03 11 15 19 21 24 26 30,10/1/2010
10114,01 10 12 13 19 23 29 27,9/29/2010
10113,02 03 13 15 19 26 27 17,9/27/2010
10112,04 18 19 20 23 24 29 14,9/24/2010
10111,02 03 10 18 24 27 29 22,9/22/2010
10110,02 06 19 23 26 29 30 28,9/20/2010
10109,04 08 10 14 23 24 30 20,9/17/2010
10108,04 08 12 17 20 21 26 18,9/15/2010
10107,04 06 15 21 25 28 29 01,9/13/2010
10106,09 11 17 23 24 25 27 02,9/10/2010
10105,03 10 11 12 13 20 30 09,9/8/2010
10104,05 06 13 15 20 23 24 04,9/6/2010
10103,05 11 12 20 22 24 29 02,9/3/2010
10102,01 02 07 08 22 24 27 10,9/1/2010
10101,01 07 11 13 20 24 28 18,8/30/2010
10100,02 05 12 16 22 26 29 01,8/27/2010
10099,02 03 07 09 13 23 26 10,8/25/2010
10098,01 08 13 14 21 25 29 22,8/23/2010
10097,03 12 13 15 19 26 30 22,8/20/2010
10096,05 08 11 13 17 22 30 25,8/18/2010
10095,01 03 05 14 20 23 24 10,8/16/2010
10094,02 07 10 13 27 28 30 25,8/13/2010
10093,08 10 11 16 21 27 29 26,8/11/2010
10092,11 12 14 19 25 27 28 24,8/9/2010
10091,02 04 07 12 26 27 29 22,8/6/2010
10090,04 10 13 17 20 23 27 01,8/4/2010
10089,03 16 17 21 24 26 30 27,8/2/2010
10088,04 05 09 11 12 22 28 21,7/30/2010
10087,01 04 05 10 20 22 27 13,7/28/2010
10086,02 03 04 07 15 18 26 08,7/26/2010
10085,02 08 17 19 20 22 29 28,7/23/2010
10084,01 06 10 13 14 15 22 05,7/21/2010
10083,01 08 11 12 14 29 30 07,7/19/2010
10082,03 07 11 14 17 24 26 25,7/16/2010
10081,02 06 15 17 18 26 30 13,7/14/2010
10080,06 14 19 24 26 27 29 23,7/12/2010
10079,03 05 06 15 18 20 21 16,7/9/2010
10078,02 05 10 21 22 27 30 11,7/7/2010
10077,01 03 05 06 17 21 30 23,7/5/2010
10076,06 11 12 14 16 18 26 04,7/2/2010
10075,01 06 12 16 24 27 30 11,6/30/2010
10074,03 04 10 13 17 27 30 11,6/28/2010
10073,06 08 09 13 22 26 27 19,6/25/2010
10072,02 14 15 16 21 25 26 24,6/23/2010
10071,09 12 14 21 26 28 29 30,6/21/2010
10070,07 12 17 22 25 26 30 15,6/18/2010
10069,06 10 12 13 16 24 27 01,6/16/2010
10068,03 04 10 13 19 26 29 12,6/14/2010
10067,01 02 10 11 13 22 26 17,6/11/2010
10066,02 05 11 20 25 26 29 12,6/9/2010
10065,08 12 14 25 26 27 30 02,6/7/2010
10064,04 06 09 10 12 23 25 24,6/4/2010
10063,02 05 06 11 21 26 27 04,6/2/2010
10062,01 05 10 22 25 26 28 21,5/31/2010
10061,03 09 12 15 20 23 28 27,5/28/2010
10060,01 09 14 17 18 27 28 15,5/26/2010
10059,06 09 11 14 17 25 29 08,5/24/2010
10058,05 07 09 18 20 26 29 01,5/21/2010
10057,06 09 13 18 21 25 26 27,5/19/2010
10056,06 09 12 15 22 23 30 11,5/17/2010
10055,01 02 07 13 15 24 29 05,5/14/2010
10054,01 03 05 08 20 22 23 30,5/12/2010
10053,02 08 09 18 25 26 27 14,5/10/2010
10052,05 08 09 11 12 15 28 02,5/7/2010
10051,10 12 13 19 20 21 29 05,5/5/2010
10050,01 07 10 15 21 28 29 08,5/3/2010
10049,03 10 14 17 23 29 30 21,4/30/2010
10048,01 04 11 22 23 27 29 18,4/28/2010
10047,09 10 13 14 16 20 29 30,4/26/2010
10046,03 09 12 13 15 26 27 29,4/23/2010
10045,07 11 14 16 22 26 27 04,4/21/2010
10044,01 02 04 12 17 21 25 28,4/19/2010
10043,02 04 07 14 15 23 30 10,4/16/2010
10042,04 11 18 22 23 27 28 03,4/14/2010
10041,06 08 10 11 14 27 29 18,4/12/2010
10040,02 07 13 14 16 18 20 29,4/9/2010
10039,01 04 06 10 12 19 22 28,4/7/2010
10038,11 12 16 20 21 28 30 24,4/5/2010
10037,01 03 10 15 26 27 29 06,4/2/2010
10036,07 12 14 18 20 22 27 17,3/31/2010
10035,01 02 07 11 22 27 29 23,3/29/2010
10034,01 04 06 07 09 12 29 19,3/26/2010
10033,02 08 13 16 17 24 25 03,3/24/2010
10032,08 12 19 22 24 25 28 30,3/22/2010
10031,04 06 09 10 15 19 20 25,3/19/2010
10030,02 06 12 21 22 25 29 04,3/17/2010
10029,06 12 13 18 23 27 30 15,3/15/2010
10028,05 10 13 16 17 23 29 01,3/12/2010
10027,01 04 09 15 26 28 29 25,3/10/2010
10026,06 08 12 14 16 20 30 11,3/8/2010
10025,04 05 14 15 17 22 23 01,3/5/2010
10024,03 05 06 18 20 23 25 15,3/3/2010
10023,02 11 13 16 19 20 23 17,3/1/2010
10022,08 09 10 17 19 22 28 20,2/26/2010
10021,01 03 05 09 12 16 22 04,2/24/2010
10020,03 08 14 15 17 21 22 05,2/22/2010
10019,01 03 08 12 14 17 22 13,2/12/2010
